work_idx	cmd	local pid	queued	run_idx	status	worker	local start time	local end time	local elapsed time	remote start time	remote end time	remote elapsed time	user time	system time	max rss	shared	unshared	stack	minor faults	major faults	pid	io
0	mProjectPP  -X -x 1.01232 ../../data/data2/2mass-atlas-981204n-j0330173.fits p2mass-atlas-981204n-j0330173.fits ../../data/data2/region.hdr 	19599	0.180	0	exit 0	huscs000-kabe-2011-04-11-00-17-13-10387	0.191870	4.939501	4.747631	0.648353	4.935763	4.28741002083	1.172073	0.044002	0	0	0	0	4950	0	19647	[struct stat="OK", time=4]
#	
1	mProjectPP  -X -x 1.01260 ../../data/data2/2mass-atlas-981204n-j0320080.fits p2mass-atlas-981204n-j0320080.fits ../../data/data2/region.hdr 	19600	0.180	1	exit 0	huscs005-kabe-2011-04-11-00-17-13-1062	0.191870	4.325398	4.133528	0.528993	4.277653	3.74865984917	1.724108	0.072005	0	0	0	0	4905	0	19649	[struct stat="OK", time=4]
#	
2	mProjectPP  -X -x 1.01214 ../../data/data2/2mass-atlas-981204n-j0330209.fits p2mass-atlas-981204n-j0330209.fits ../../data/data2/region.hdr 	19601	0.180	2	exit 0	huscs004-kabe-2011-04-11-00-17-13-7630	0.191870	3.365085	3.173215	0.455410	3.301213	2.84580302238	1.436090	0.060004	0	0	0	0	4898	0	19650	[struct stat="OK", time=3]
#	
3	mProjectPP  -X -x 1.01186 ../../data/data2/2mass-atlas-981204n-j0340068.fits p2mass-atlas-981204n-j0340068.fits ../../data/data2/region.hdr 	19602	0.180	3	exit 0	huscs008-kabe-2011-04-11-00-17-13-21850	0.191870	4.868575	4.676705	0.544691	4.823960	4.27926898003	1.804113	0.148009	0	0	0	0	4890	0	19651	[struct stat="OK", time=5]
#	
4	mProjectPP  -X -x 1.01223 ../../data/data2/2mass-atlas-981204n-j0330185.fits p2mass-atlas-981204n-j0330185.fits ../../data/data2/region.hdr 	19605	0.181	4	exit 0	huscs013-kabe-2011-04-11-00-17-13-2834	0.191870	4.102979	3.911109	0.464330	4.091162	3.62683200836	1.780111	0.056003	0	0	0	0	4893	0	19652	[struct stat="OK", time=4]
#	
5	mProjectPP  -X -x 1.01223 ../../data/data2/2mass-atlas-981204n-j0330197.fits p2mass-atlas-981204n-j0330197.fits ../../data/data2/region.hdr 	19607	0.181	5	exit 0	huscs001-kabe-2011-04-11-00-17-13-11925	0.191870	2.866360	2.674490	0.568715	2.843997	2.27528190613	1.252078	0.052004	0	0	0	0	4900	0	19653	[struct stat="OK", time=3]
#	
6	mProjectPP  -X -x 1.01251 ../../data/data2/2mass-atlas-981204n-j0320068.fits p2mass-atlas-981204n-j0320068.fits ../../data/data2/region.hdr 	19612	0.181	6	exit 0	huscs012-kabe-2011-04-11-00-17-13-4070	0.191870	4.934569	4.742699	0.455290	4.867067	4.4117770195	1.932121	0.108007	0	0	0	0	4907	0	19654	[struct stat="OK", time=5]
#	
7	mProjectPP  -X -x 1.01177 ../../data/data2/2mass-atlas-981204n-j0340056.fits p2mass-atlas-981204n-j0340056.fits ../../data/data2/region.hdr 	19603	0.181	7	exit 0	huscs013-kabe-2011-06-05-21-41-34-4456	0.191870	3.364177	3.172307	0.659557	3.245180	2.58562302589	1.160073	0.028001	0	0	0	0	4873	0	19655	[struct stat="OK", time=2]
#	
8	mProjectPP  -X -x 0.95096 ../../data/data2/2mass-atlas-971021n-j0380091.fits p2mass-atlas-971021n-j0380091.fits ../../data/data2/region.hdr 	19613	0.181	8	exit 0	huscs014-kabe-2011-06-05-21-41-34-26065	0.191870	4.567114	4.375244	0.458312	4.477793	4.01948094368	1.852116	0.100006	0	0	0	0	4827	0	19656	[struct stat="OK", time=4]
#	
9	mProjectPP  -X -x 1.07905 ../../data/data2/2mass-atlas-001016n-j0910173.fits p2mass-atlas-001016n-j0910173.fits ../../data/data2/region.hdr 	19614	0.181	9	exit 0	huscs003-kabe-2011-06-05-21-41-34-14499	0.191870	4.414475	4.222605	0.467168	4.388715	3.92154693604	1.896119	0.044003	0	0	0	0	4906	0	19657	[struct stat="OK", time=4]
#	
10	mProjectPP  -X -x 1.07498 ../../data/data2/2mass-atlas-001016n-j0980091.fits p2mass-atlas-001016n-j0980091.fits ../../data/data2/region.hdr 	19617	0.181	10	exit 0	huscs011-kabe-2011-04-11-00-17-13-331	0.191870	3.898694	3.706824	0.511580	3.865497	3.35391712189	1.268079	0.040003	0	0	0	0	4849	0	19658	[struct stat="OK", time=4]
#	
11	mProjectPP  -X -x 0.95052 ../../data/data2/2mass-atlas-971021n-j0390185.fits p2mass-atlas-971021n-j0390185.fits ../../data/data2/region.hdr 	19615	0.181	11	exit 0	huscs014-kabe-2011-06-05-21-41-29-26050	0.191870	4.565132	4.373262	0.471096	4.440717	3.96962094307	1.792112	0.148009	0	0	0	0	4819	0	19659	[struct stat="OK", time=4]
#	
12	mProjectPP  -X -x 1.14678 ../../data/data2/2mass-atlas-981123n-j0710173.fits p2mass-atlas-981123n-j0710173.fits ../../data/data2/region.hdr 	19620	0.182	12	exit 0	huscs009-kabe-2011-06-05-21-41-29-3666	0.191870	4.324891	4.133021	0.465787	4.259766	3.79397892952	1.808113	0.108006	0	0	0	0	4859	0	19660	[struct stat="OK", time=4]
#	
13	mProjectPP  -X -x 0.95052 ../../data/data2/2mass-atlas-971021n-j0390173.fits p2mass-atlas-971021n-j0390173.fits ../../data/data2/region.hdr 	19624	0.182	13	exit 0	huscs018-kabe-2011-06-05-21-41-29-2890	0.191870	3.363797	3.171927	0.658676	3.239246	2.58056998253	1.460091	0.060004	0	0	0	0	4881	0	19661	[struct stat="OK", time=3]
#	
14	mProjectPP  -X -x 1.01167 ../../data/data2/2mass-atlas-981204n-j0350173.fits p2mass-atlas-981204n-j0350173.fits ../../data/data2/region.hdr 	19623	0.182	14	exit 0	huscs011-kabe-2011-06-05-21-41-34-18503	0.191870	4.569656	4.377786	0.477931	4.551025	4.07309412956	1.888118	0.048003	0	0	0	0	4859	0	19662	[struct stat="OK", time=4]
#	
16	mProjectPP  -X -x 1.07508 ../../data/data2/2mass-atlas-001016n-j0980068.fits p2mass-atlas-001016n-j0980068.fits ../../data/data2/region.hdr 	19625	0.182	16	exit 0	huscs011-kabe-2011-06-05-21-41-34-18504	0.191870	4.434455	4.242585	0.670937	4.388306	3.71736907959	1.804113	0.116007	0	0	0	0	4837	0	19664	[struct stat="OK", time=3]
#	
18	mProjectPP  -X -x 0.95043 ../../data/data2/2mass-atlas-971021n-j0390209.fits p2mass-atlas-971021n-j0390209.fits ../../data/data2/region.hdr 	19629	0.182	18	exit 0	huscs013-kabe-2011-06-05-21-41-34-4452	0.191870	4.564788	4.372918	0.547878	4.404271	3.85639309883	1.796112	0.056003	0	0	0	0	4822	0	19667	[struct stat="OK", time=3]
#	
19	mProjectPP  -X -x 0.95069 ../../data/data2/2mass-atlas-971021n-j0380044.fits p2mass-atlas-971021n-j0380044.fits ../../data/data2/region.hdr 	19628	0.182	19	exit 0	huscs006-kabe-2011-06-05-21-41-34-8249	0.191870	4.999624	4.807754	0.498231	4.994429	4.49619793892	1.828115	0.036002	0	0	0	0	4828	0	19668	[struct stat="OK", time=5]
#	
20	mProjectPP  -X -x 0.95078 ../../data/data2/2mass-atlas-971021n-j0380068.fits p2mass-atlas-971021n-j0380068.fits ../../data/data2/region.hdr 	19632	0.183	20	exit 0	huscs012-kabe-2011-06-05-21-41-29-18596	0.212735	3.009687	2.796952	0.986634	3.001518	2.01488399506	1.100069	0.036002	0	0	0	0	4829	0	19674	[struct stat="OK", time=2]
#	
21	mProjectPP  -X -x 1.07865 ../../data/data2/2mass-atlas-001016n-j0910220.fits p2mass-atlas-001016n-j0910220.fits ../../data/data2/region.hdr 	19630	0.183	21	exit 0	huscs012-kabe-2011-06-05-21-41-34-18623	0.215852	4.434988	4.219136	0.494483	4.387399	3.89291620255	1.868117	0.076005	0	0	0	0	4843	0	19676	[struct stat="OK", time=4]
#	
23	mProjectPP  -X -x 0.95043 ../../data/data2/2mass-atlas-971021n-j0390220.fits p2mass-atlas-971021n-j0390220.fits ../../data/data2/region.hdr 	19637	0.199	23	exit 0	huscs011-kabe-2011-06-05-21-41-34-18508	0.215852	3.365420	3.149568	0.654797	3.308238	2.6534409523	1.108069	0.048003	0	0	0	0	4813	0	19678	[struct stat="OK", time=3]
#	
