work_idx	cmd	pid	dirs	time_req	run_idx	result	man_name	time_start	time_end	time_since_start	worker_time_start	worker_time_end	worker_time	utime	stime	maxrss	ixrss	idrss	isrss	minflt	majflt	io	io_filename
0	mProjectPP  -X -x 1.01260 ../../data/data2/2mass-atlas-981204n-j0320080.fits p2mass-atlas-981204n-j0320080.fits ../../data/data2/region.hdr	31055	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.295	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.700	3.345	0.617	3.684	3.066	1.916	0.020	0	0	0	0	4971	0	[struct stat="OK", time=3] 	-
1	mProjectPP  -X -x 1.01232 ../../data/data2/2mass-atlas-981204n-j0330173.fits p2mass-atlas-981204n-j0330173.fits ../../data/data2/region.hdr	31054	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.295	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.979	3.625	0.618	3.977	3.359	1.888	0.036	0	0	0	0	4963	0	[struct stat="OK", time=3] 	-
2	mProjectPP  -X -x 1.01214 ../../data/data2/2mass-atlas-981204n-j0330209.fits p2mass-atlas-981204n-j0330209.fits ../../data/data2/region.hdr	31056	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.296	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.767	3.413	0.619	3.745	3.126	1.912	0.036	0	0	0	0	4961	0	[struct stat="OK", time=3] 	-
3	mProjectPP  -X -x 1.01186 ../../data/data2/2mass-atlas-981204n-j0340068.fits p2mass-atlas-981204n-j0340068.fits ../../data/data2/region.hdr	31058	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.297	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.853	3.498	0.620	3.828	3.208	1.656	0.048	0	0	0	0	4946	0	[struct stat="OK", time=3] 	-
4	mProjectPP  -X -x 1.01177 ../../data/data2/2mass-atlas-981204n-j0340056.fits p2mass-atlas-981204n-j0340056.fits ../../data/data2/region.hdr	31065	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.298	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.611	3.257	0.621	3.597	2.977	1.860	0.036	0	0	0	0	4950	0	[struct stat="OK", time=3] 	-
5	mProjectPP  -X -x 1.01223 ../../data/data2/2mass-atlas-981204n-j0330197.fits p2mass-atlas-981204n-j0330197.fits ../../data/data2/region.hdr	31093	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.299	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.915	3.561	0.621	3.887	3.266	1.872	0.024	0	0	0	0	4957	0	[struct stat="OK", time=3] 	-
6	mProjectPP  -X -x 1.01251 ../../data/data2/2mass-atlas-981204n-j0320068.fits p2mass-atlas-981204n-j0320068.fits ../../data/data2/region.hdr	31098	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.300	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.857	3.503	0.622	3.831	3.209	1.784	0.028	0	0	0	0	4968	0	[struct stat="OK", time=3] 	-
7	mProjectPP  -X -x 0.95096 ../../data/data2/2mass-atlas-971021n-j0380091.fits p2mass-atlas-971021n-j0380091.fits ../../data/data2/region.hdr	31100	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.300	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.312	2.958	0.623	3.302	2.679	1.716	0.024	0	0	0	0	4904	0	[struct stat="OK", time=3] 	-
8	mProjectPP  -X -x 0.95052 ../../data/data2/2mass-atlas-971021n-j0390185.fits p2mass-atlas-971021n-j0390185.fits ../../data/data2/region.hdr	31111	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.301	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.380	3.026	0.624	3.372	2.749	1.808	0.036	0	0	0	0	4896	0	[struct stat="OK", time=3] 	-
9	mProjectPP  -X -x 1.07905 ../../data/data2/2mass-atlas-001016n-j0910173.fits p2mass-atlas-001016n-j0910173.fits ../../data/data2/region.hdr	31109	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.301	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.496	3.142	0.624	3.493	2.869	1.776	0.052	0	0	0	0	4916	0	[struct stat="OK", time=3] 	-
